,Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,nueva,reporte
10,10,"October 01, 1916",2345,"Potters Bar, England",Military - German Navy,?,?,Zeppelin L-31 (airship),?,?,19,0,19,19,0,19,0,Shot down in flames by the British 39th Home Defence Squadron.,1916-10-01,Derribado en llamas por el 39º Escuadrón de Defensa Nacional británico.
11,11,"November 21, 1916",?,"Mainz, Germany",Military - German Army,?,?,Super Zeppelin (airship),?,?,28,?,?,27,?,?,0,Crashed in a storm.,1916-11-21,Estrellado en una tormenta.
12,12,"November 28, 1916",2345,"Off West Hartlepool, England",Military - German Navy,?,?,Zeppelin L-34 (airship),?,?,20,?,?,20,?,?,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,1916-11-28,Derribado por fuego y aviones antiaéreos británicos y se estrelló contra el Mar del Norte.
13,13,"March 04, 1917",?,"Near Gent, Belgium",Military - German Army,?,?,Airship,?,?,20,?,?,20,?,?,0,Caught fire and crashed.,1917-03-04,Se incendió y se estrelló.
14,14,"March 30, 1917",?,Off Northern Germany,Military - German Navy,?,?,Schutte-Lanz S-L-9 (airship),?,?,23,?,?,23,?,?,0,Struck by lightning and crashed into the Baltic Sea.,1917-03-30,Alcanzado por un rayo y se estrelló contra el Mar Báltico.
15,15,"May 14, 1917",0515,"Near Texel Island, North Sea",Military - German Navy,?,?,Zeppelin L-22 (airship),?,?,21,?,?,21,?,?,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",1917-05-14,Se estrelló contra el mar desde una altitud de 3000 pies después de ser alcanzado por fuego de aviones británicos.
16,16,"June 14, 1917",0845,"Off Vlieland Island, North Sea",Military - German Navy,?,?,Zeppelin L-43 (airship),?,?,24,?,?,24,?,?,0,Shot down by British aircraft.,1917-06-14,Derribado por aviones británicos.
17,17,"June 17, 1917",?,"Near Yarmouth, England",?,?,?,Zepplin L-48 (air ship),L-48,?,16,?,?,14,?,?,0,Shot down by aircraft.,1917-06-17,Derribado por aviones.
18,18,"August 21, 1917",0700,Off western Denmark,Military - German Navy,?,?,Zeppelin L-23 (airship),?,?,18,?,?,18,?,?,0,Shot down by British aircraft.,1917-08-21,Derribado por aviones británicos.
19,19,"October 20, 1917",0745,"Near Luneville, France",Military - German Navy,?,?,Zeppelin L-44 (airship),?,?,18,?,?,18,?,?,0,Shot down by French anti-aircraft fire.,1917-10-20,Derribado por fuego antiaéreo francés.
20,20,"April 07, 1918",2130,Over the Mediterranean,Military - German Navy,?,?,Zeppelin L-59 (airship),?,?,23,?,?,23,?,?,0,Exploded and crashed into the sea off the southern coast of Italy.,1918-04-07,Explotó y se estrelló contra el mar frente a la costa sur de Italia.
21,21,"August 05, 1918",?,"Off Helgoland Island, Germany",Military - German Navy,?,?,Zeppelin L-70 (airship),?,?,22,?,?,22,?,?,0,"Shot down by British aircraft crashing from a height of 17,000 ft.",1918-08-05,Derribado por un avión británico que se estrelló desde una altura de 17.000 pies.
22,22,"August 11, 1918",1000,"Ameland Island, North Sea",Military - German Navy,?,?,Zeppelin L-53 (airship),?,?,19,?,?,19,?,?,0,Shot down by british aircraft.,1918-08-11,Derribado por aviones británicos.
23,23,"December 16, 1918",?,"Elizabeth, New Jersey",US Aerial Mail Service,?,?,De Havilland DH-4,97,?,1,0,1,1,0,1,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,1918-12-16,Carl Smith murió cuando su avión correo recorre 500 pies mientras intentaba aterrizar. Trató de reposicionar el avión después de que el viento cambió y perdió el control del avión y se zambulló en el suelo.
24,24,"May 25, 1919",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,61,?,1,0,1,1,0,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,1919-05-25,Se incendió en el aire. El piloto saltó del avión y murió cuando el avión comenzó a caer en picado.
25,25,"July 19, 1919",?,"Dix Run, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,82,?,1,0,1,1,0,1,0,The mail plane crashed under unknown circumstances.,1919-07-19,El avión de correo se estrelló en circunstancias desconocidas.
26,26,"July 21, 1919",1655,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,?,Shuttle,FD Type Dirigible,?,?,?,?,?,3,2,1,10,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed",1919-07-21,"El dirigible, que navegaba a 1.200 pies, se incendió y se estrelló contra el Illinois Trust and Savings Building en Chicago. El transportaba personas desde Grant Park hasta el parque de diversiones White City.[1] Murieron un tripulante, dos pasajeros y diez empleados bancarios"
27,27,"August 02, 1919",?,"Verona, Italy",Caproni Company,?,Venice  Taliedo,Caproni Ca.48,?,?,14,12,2,14,12,2,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,1919-08-02,"Cuando el avión pasaba sobre Verona, las alas comenzaron a revolotear y luego colapsaron y se estrellaron. Las fuentes difieren en cuanto al número de muertes y algunas informan 15 o 17."
28,28,"October 02, 1919",?,"Newcastle, England",Aircraft Transport and Travel,?,?,De Havilland DH-4,?,?,1,0,1,1,0,1,0,?,1919-10-02,
29,29,"October 14, 1919",?,"Cantonsville, Maryland",US Aerial Mail Service,?,?,Curtiss R-4LM,32,?,1,0,1,1,0,1,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",1919-10-14,"El piloto estaba realizando un vuelo de correo a Baltimore. Durante la aproximación final, en medio de la niebla, la aeronave golpeó las copas de los árboles y se estrelló contra el bosque."
30,30,"October 20, 1919",?,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,?,?,De Havilland DH-4,G-EAHG,?,0,0,1,0,0,0,0,Crashed into the sea while attempting to land in fog.,1919-10-20,Se estrelló contra el mar al intentar aterrizar en la niebla.
31,31,"October 30, 1919",?,"Long Valley, New Jersey",US Aerial Mail Service,?,?,De Havilland DH.4,77,77,1,0,1,1,0,1,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",1919-10-30,"Durante un vuelo de correo a Nueva York, el piloto se encontró con malas condiciones climáticas y redujo su altitud para mantener un contacto visual con el suelo. Finalmente, decidió realizar un aterrizaje de emergencia en Long Valley, al oeste de Newark. El avión golpeó el suelo y se estrelló."
32,32,"December 11, 1919",?,"Catherham, Surrey, UK",Aircraft Travel Transport,?,Paris - Hounslow,de Havilland DH-4,G-EAHF,?,1,1,1,1,1,1,0,Crashed in a field while attemptting to land.,1919-12-11,Se estrelló en un campo al intentar aterrizar.
33,33,"March 10, 1920",?,"New Paris, Indiana",US Aerial Mail Service,?,?,De Havilland DH-4,65,?,1,0,1,1,0,1,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",1920-03-10,"Durante un vuelo de correo, la aeronave golpeó árboles en medio de la niebla y se estrelló en un área boscosa."
34,34,"March 30, 1920",?,"Newark, New Jersey",US Aerial Mail Service,?,Washington - Newark,De Havilland DH-4,72,?,1,0,1,1,0,1,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,1920-03-30,George Sherlock murió cuando su avión correo se estrelló contra una chimenea mientras intentaba aterrizar en Heller Field con poca visibilidad.
35,35,"April 10, 1920",?,"Newark, New Jersey",US Aerial Mail Service,?,?,Curtiss R-4LM,49,?,2,1,1,1,0,1,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,1920-04-10,"Después de que estalló un incendio en vuelo, el piloto decidió realizar un aterrizaje de emergencia pero la aeronave se estrelló."
36,36,"April 11, 1920",?,"Heller Field, New Jersey",US Aerial Mail Service,?,?,Curtiss JN-4H,44,?,2,1,1,1,0,1,0,The aircraft crashed while on approach for unknown reasons.,1920-04-11,La aeronave se estrelló mientras se aproximaba por razones desconocidas.
37,37,"May 12, 1920",?,"Oskaloosa, Iowa",US Aerial Mail Service,?,?,De Havilland DH-4,79,?,2,1,1,1,1,0,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",1920-05-12,"En el empeoramiento de las condiciones meteorológicas, el piloto perdió el sentido de la orientación y se estrelló en un campo."
38,38,"June 06, 1920",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,204,?,1,0,1,1,0,1,0,The aircraft suffered engine failure and crashed shortly after taking off.,1920-06-06,La aeronave sufrió una falla en el motor y se estrelló poco después de despegar.
39,39,"July 20, 1920",?,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,?,?,Farman F-40,?,?,1,1,1,1,1,1,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,1920-07-20,Se estrelló mientras despegaba después de una falla del motor. Fallo del motor por agotamiento del combustible.
40,40,"August 16, 1920",?,"Bedford, England",By Air,?,?,Armstrong-Whitworth F-K-8,G-EALW,?,1,0,1,1,0,1,0,The plane crashed during a cargo flight under unknown circumstances.,1920-08-16,El avión se estrelló durante un vuelo de carga en circunstancias desconocidas.
41,41,"August 16, 1920",?,"College Park, Maryland",US Aerial Mail Service,?,?,De Havilland DH-4,317,?,1,0,1,1,0,1,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",1920-08-16,"Mientras se acercaba a la tierra con poca visibilidad, el avión chocó contra un mástil de radio y se estrelló en llamas."
42,42,"September 01, 1920",?,"Morristown, New Jersey",US Aerial Mail Service,?,?,Junkers JL-6,305,?,2,0,2,2,0,2,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",1920-09-01,"Mientras estaba en ruta, el avión correo perdió el control y se estrelló después de sufrir un incendio en vuelo."
43,43,"September 15, 1920",?,"Pemberville, Ohio",US Aerial Mail Service,?,?,Junkers F-13,308,?,2,?,?,2,?,?,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,1920-09-15,El piloto se estrelló después de intentar hacer un aterrizaje de emergencia después de que el motor se incendiara.
44,44,"September 27, 1920",?,"Hillersburg, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,316,?,1,0,1,1,0,1,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,1920-09-27,El avión golpeó las líneas eléctricas y se estrelló en llamas después de volar a baja altura con poca visibilidad.
45,45,"October 02, 1920",?,"Off Port Vendres, France",Latecoere Airlines,?,?,Salmson 2-A-2,F-ALAI,31,2,1,1,2,1,1,0,Crashed into the Mediterranean while on a mail flight.,1920-10-02,Se estrelló contra el Mediterráneo durante un vuelo de correo.
46,46,"October 05, 1920",?,"Valencia, Spain",Latecoere Airlines,?,?,Breguet 14,F-ALTA,20,2,1,1,2,1,1,0,While on a mail flight the plane crashed while attempting to land.,1920-10-05,"Durante un vuelo de correo, el avión se estrelló al intentar aterrizar."
47,47,"October 15, 1920",?,"Batavia, Illinois",US Aerial Mail Service,?,?,De Havilland DH-4,76,?,1,0,1,1,0,1,0,While attempting to land in fog the aircraft hit an obstruction and crashed.,1920-10-15,"Mientras intentaba aterrizar en medio de la niebla, la aeronave chocó contra un obstáculo y se estrelló."
48,48,"November 07, 1920",?,"Tie Siding, Wyoming",US Aerial Mail Service,?,?,De Havilland DH-4,?,178,1,0,1,1,0,1,0,The aircraft crashed into a mountain in poor weather condtions.,1920-11-07,El avión se estrelló contra una montaña en malas condiciones climáticas.
49,49,"December 14, 1920",1215,"London, England",Handley Page Transport,?,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8,6,2,4,2,2,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,1920-12-14,El avión no pudo ganar altitud después de despegar de Criclklewood y se estrelló contra un árbol y una casa. Error del piloto al despegar hacia una colina en condiciones desfavorables de viento y niebla. El primer desastre aéreo comercial que resultó en la muerte de pasajeros durante un servicio programado regularmente.
50,50,"December 24, 1920",?,"Barcelona, Spain",Aeropostale,?,?,Breguet 14,F-ALBO,57,1,0,1,1,0,1,0,The aircraft stalled and crashed when an engine failed.,1920-12-24,El avión se detuvo y se estrelló cuando falló un motor.
51,51,"February 03, 1921",?,"Mendotta, Minnisota",US Aerial Mail Service,?,?,De Havilland DH-4,130,?,1,0,1,1,0,1,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,1921-02-03,"Poco después del despegue de Minneapolis-World Chamberlain Field, el motor falló. La aeronave perdió altitud y se estrelló en un campo."
52,52,"February 09, 1921",?,"La Crosse, Wisconsin",US Aerial Mail Service,?,?,Junkers F-13,301,?,3,0,3,3,0,3,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,1921-02-09,Bloqueado por razones desconocidas. Tanto los pilotos como el mecánico murieron.
53,53,"February 15, 1921",?,Off Gibraltar,Aeropostale,?,?,Breguet 14,F-ALBA,?,2,0,2,2,0,2,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,1921-02-15,El vuelo del correo se encontró con malas condiciones climáticas y se estrelló contra el océano mientras se acercaba a Gibraltar. Los cuerpos de la tripulación nunca fueron recuperados.
54,54,"February 22, 1921",?,"Elko, Nevada",US Aerial Mail Service,?,?,De Havilland DH-4,67,?,1,0,1,1,0,1,0,"Shortly after taking off, the aircraft stalled and crashed .",1921-02-22,"Poco después de despegar, el avión se detuvo y se estrelló."
55,55,"April 06, 1921",?,"Point Cook, Australia",Military - Royal Australian Air Force,?,?,Avro 504,H3021,?,2,0,0,2,0,0,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",1921-04-06,"Poco después de despegar en un vuelo de entrenamiento, la aeronave se zambulló en el suelo y explotó en llamas."
56,56,"April 21, 1921",?,"Mitchel Field, NY",US Aerial Mail Service,?,?,De Havilland DH-4,160,?,1,0,1,1,0,1,0,After taking off the aircraft stalled and crashed.,1921-04-21,"Después de despegar, el avión se detuvo y se estrelló."
57,57,"April 29, 1921",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,196,?,1,0,1,1,0,1,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",1921-04-29,"El avión se estrelló en un campo, cerca de la pista, unos minutos antes de su llegada prevista a Cleveland. El tiempo era pobre con niebla."
58,58,"May 17, 1921",?,"Rock Springs, Wyoming",US Aerial Mail Service,?,?,De Havilland DH-4De Havilland DH-4,176,?,1,0,1,1,0,1,0,Crashed while attempting to land.,1921-05-17,Se estrelló al intentar aterrizar.
59,59,"August 14, 1921",?,"Toulouse, France",Aeropostale,?,?,Breguet 14,F-ALBI,?,2,?,?,2,?,?,0,?,1921-08-14,
60,60,"August 24, 1921",1740,"River Humber, England",Military - Royal Airship Works,?,?,Royal Airship Works ZR-2 (airship),R-38,R-38,49,0,49,43,0,43,1,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude.",1921-08-24,"Se estrelló debido a una falla estructural seguida de dos explosiones y un incendio. Atribuido a un diseño defectuoso. Este fue un vuelo de prueba antes de ser entregado a la marina. Treinta y dos británicos y 17 estadounidenses estaban a bordo, y los sobrevivientes fueron 5 británicos y 1 estadounidense. Las muertes incluyeron al diseñador, Charles Campbell, que había copiado un diseño alemán capturado destinado a vuelos a gran altitud, por lo que el esqueleto era un poco más débil que algunos. El piloto lo estresó demasiado al intentar un giro a 62 mph a baja altura."
61,61,"September 06, 1921",?,"Paris, France",Franco-Roumaine,?,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5,4,1,5,4,1,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,1921-09-06,Se estrelló mientras se aproximaba al aeropuerto de Le Bourget en París. El piloto abortó el aterrizaje debido a que había otra aeronave en la pista.
62,62,"December 05, 1921",?,"Near Murchinson River, Australia",West Australian Airways,?,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2,0,2,2,0,2,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,1921-12-05,"Al acercarse a Geraldton, el avión se estrelló cerca del río Murchinson. Considerado el primer vuelo comercial en Australila."
63,63,"January 14, 1922",?,"Paris, France",Handley Page Transport,?,?,Handley Page O/10,G-EATN,HP-43,5,4,1,5,4,1,5,Crashed at Le Bourget field.,1922-01-14,Se estrelló en el campo de Le Bourget.
64,64,"February 21, 1922",?,"Near Norfolk, Virginia",Military - U.S. Army Air Service,?,?,Dirigible Roma (airship),?,?,45,?,?,34,?,?,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,1922-02-21,Se estrelló desde una altura de 500 pies después de experimentar problemas de control causados ​​por el mal funcionamiento de los controles.
65,65,"March 22, 1922",1140,North Atlantic Ocean,Aero Limited,?,Miami - Bimini,Aeromarine Model 85 (flying boat),?,?,6,5,1,5,5,0,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",1922-03-22,"El avión se hundió en el océano a unas 40 millas al este de Florida después de que se rompiera una pala de la hélice. Solo el piloto sobrevivió, siendo recogido más de 2 días después. El hidroavión fue nombrado Miss Miami."
66,66,"April 07, 1922",1315,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,?,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7,5,2,7,5,2,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",1922-04-07,"Se produjo una colisión en el aire a 400 pies con poca visibilidad aproximadamente a 18 millas al norte de Beauvais, Francia. Los pilotos de ambos aviones utilizaban la carretera como marcador de ruta con mal tiempo y poca visibilidad. Esta fue la primera colisión comercial en el aire en la historia de la aviación. Dos muertos en el de Havilland, cinco en el Faman F-60."
67,67,"April 08, 1922",?,"Pao Ting Fou, China",?,?,Test,?,?,?,17,0,17,17,0,17,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,1922-04-08,A bordo iban todos los trabajadores que participaban en una prueba de vuelo. Los diecisiete a bordo eran ciudadanos chinos.
68,68,"June 03, 1922",?,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,?,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3,2,1,3,2,1,0,Went down into the English Channel while en route.,1922-06-03,Bajó al Canal de la Mancha mientras estaba en ruta.
69,69,"July 04, 1922",?,"Fuhlsbuttel, Germany",?,?,Hamburg - Berlin,LVG C VI,?,?,3,2,1,2,1,1,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).",1922-07-04,"El avión de pasajeros/correo perdió su motor mientras despegaba y se estrelló contra los árboles. La actriz Fern Andra sobrevivió al accidente, pero su director, Georg Bluen, no. El piloto, Lothar von Richthofen, también murió. Fue un as de la Primera Guerra Mundial y hermano de Manfred von Richthofen (El Barón Rojo)."
70,70,"July 16, 1922",1645,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,?,Strasbourg - Paris,Potez 29,F-FREI,25,5,4,1,5,4,1,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,1922-07-16,Perdió un motor y no pudo realizar un aterrizaje de emergencia debido a las ráfagas de viento. Se detuvo al hacer un giro y se estrelló.
71,71,"July 26, 1922",?,"Cadix, Spain",Grands Express Aeriens,?,?,Breguet 14,F-ALVE,117,3,2,1,3,2,1,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",1922-07-26,"Mientras intentaba realizar un aterrizaje de emergencia debido a problemas con el motor, la aeronave golpeó las líneas telefónicas y se estrelló."
72,72,"September 07, 1922",?,"Indianapolis, Indiana",US Aerial Mail Service,?,?,De Havilland DH-4,227,?,1,0,1,1,0,1,0,The plane stalled shortly after takeoff and crashed.,1922-09-07,El avión se detuvo poco después del despegue y se estrelló.
73,73,"October 02, 1922",?,"Venice, Italy",de Havilland Air Service,?,Venice - London,de Havilland DH-9,G-EAYT,14,4,3,1,4,3,1,0,Shortly after taking off the plane crashed into the sea and sank.,1922-10-02,"Poco después de despegar, el avión se estrelló contra el mar y se hundió."
74,74,"October 25, 1922",?,"Larache, Morocco",Grands Express Aeriens,?,?,Breguet 14,?,?,2,1,1,2,1,1,0,Crashed under unknown circumstances.,1922-10-25,Se estrelló en circunstancias desconocidas.
75,75,"December 03, 1922",?,"Fez, Morocco",Grands Express Aeriens,?,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1,0,1,1,0,1,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,1922-12-03,"Mientras volaba en condiciones de niebla, el piloto redujo la altitud y se estrelló contra una colina."
76,76,"January 10, 1923",?,"Ajaccio, France",Amee de l'Air,?,?,Lioré-et-Olivier H-13,F-AEIB,4,4,2,2,3,1,2,0,The plane crashed mid-air due to a structural failure of the tail.,1923-01-10,El avión se estrelló en el aire debido a una falla estructural en la cola.
77,77,"January 17, 1923",?,"Barcelona, Spain",Grands Express Aeriens,?,?,Breguet 14,F-ALJU,6083-130,1,0,1,1,0,1,0,Crashed into a mountain during a snowstorm.,1923-01-17,Se estrelló contra una montaña durante una tormenta de nieve.
78,78,"January 18, 1923",?,"Cheyenne, Wyoming",US Aerial Mail Service,?,?,De Havilland DH-4,223,?,1,0,1,1,0,1,0,Crashed during a mail flight.,1923-01-18,Se estrelló durante un vuelo de correo.
79,79,"February 26, 1923",?,"Meadville, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,291,?,1,0,1,1,0,1,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.,1923-02-26,El piloto perdió el control de la aeronave mientras se aproximaba en malas condiciones meteorológicas.
80,80,"May 14, 1923",1342,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),?,Paris - London,Farman F-60 Goliath,F-AEBY,15,6,4,2,6,4,2,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",1923-05-14,"Se rompió en el aire después de sufrir una falla estructural a 3,000 pies después de que un incendio a bordo debilitó la estructura del avión y perdió un ala. Posiblemente iniciado por un pasajero que tira un fósforo después de encender un cigarrillo."
